contract,network,type
20111510,Master Ouro,Clinicas
20111516,Master Ouro,Diagnósticos
20111534,Master Ouro,Diagnósticos
20111537,Master Ouro,Diagnósticos
20111544,Master Ouro,Diagnósticos
20111549,Master Ouro,Diagnósticos
20111552,Master Ouro,Diagnósticos
20111554,Master Ouro,Diagnósticos
20111558,Master Ouro,Diagnósticos
20111561,Master Ouro,Diagnósticos
20111563,Master Ouro,Diagnósticos
20111566,Master Ouro,Diagnósticos
20111578,Master Ouro,Diagnósticos
20111579,Master Ouro,Diagnósticos
20111589,Master Ouro,Diagnósticos
20111598,Master Ouro,Diagnósticos
20111608,Master Ouro,Diagnósticos
20111613,Master Ouro,Diagnósticos
20111620,Master Ouro,Diagnósticos
20111627,Master Ouro,Diagnósticos
20111630,Master Ouro,Diagnósticos
20111636,Master Ouro,Diagnósticos
20111640,Master Ouro,Diagnósticos
20111643,Master Ouro,Diagnósticos
20111662,Master Ouro,Diagnósticos
20111670,Master Ouro,Diagnósticos
20111672,Master Ouro,Diagnósticos
20111674,Master Ouro,Diagnósticos
20111684,Master Ouro,Diagnósticos
20111686,Master Ouro,Diagnósticos
20111692,Master Ouro,Diagnósticos
20111695,Master Ouro,Diagnósticos
20111697,Master Ouro,Diagnósticos
20111698,Master Ouro,Diagnósticos
20111708,Master Ouro,Diagnósticos
20111713,Master Ouro,Diagnósticos
20111714,Master Ouro,Diagnósticos
20111722,Master Ouro,Diagnósticos
20111741,Master Ouro,Diagnósticos
20111742,Master Ouro,Diagnósticos
20111747,Master Ouro,Diagnósticos
20111754,Master Ouro,Diagnósticos
20111759,Master Ouro,Diagnósticos
20111761,Master Ouro,Diagnósticos
20111768,Master Ouro,Diagnósticos
20111770,Master Ouro,Diagnósticos
20111772,Master Ouro,Diagnósticos
20111773,Master Ouro,Diagnósticos
20111779,Master Ouro,Diagnósticos
20111782,Master Ouro,Diagnósticos
20111788,Master Ouro,Diagnósticos
20111805,Master Ouro,Diagnósticos
20111810,Master Ouro,Diagnósticos
20111812,Master Ouro,Diagnósticos
20111825,Master Ouro,Diagnósticos
20111861,Master Ouro,Diagnósticos
20111872,Master Ouro,Diagnósticos
20111874,Master Ouro,Clinicas
20111884,Master Ouro,Diagnósticos
20111885,Master Ouro,Clinicas
20111889,Master Ouro,Diagnósticos
20111892,Master Ouro,Diagnósticos
20111893,Master Ouro,Diagnósticos
20111894,Master Ouro,Diagnósticos
20111895,Master Ouro,Diagnósticos
20111903,Master Ouro,Diagnósticos
20111904,Master Ouro,Diagnósticos
20111908,Master Ouro,Diagnósticos
20111928,Master Ouro,Diagnósticos
20111929,Master Ouro,Diagnósticos
20111932,Master Ouro,Diagnósticos
20111938,Master Ouro,Diagnósticos
20111939,Master Ouro,Diagnósticos
20111944,Master Ouro,Diagnósticos
20111946,Master Ouro,Diagnósticos
20111950,Master Ouro,Diagnósticos
20111951,Master Ouro,Diagnósticos
20111962,Master Ouro,Diagnósticos
20111976,Master Ouro,Clinicas
20111977,Master Ouro,Diagnósticos
20111983,Master Ouro,Diagnósticos
20111987,Master Ouro,Diagnósticos
20111989,Master Ouro,Diagnósticos
20111994,Master Ouro,Hospitais
20111996,Master Ouro,Diagnósticos
20112001,Master Ouro,Diagnósticos
20112003,Master Ouro,Diagnósticos
20112009,Master Ouro,Diagnósticos
20112011,Master Ouro,Diagnósticos
20112014,Master Ouro,Diagnósticos
20112016,Master Ouro,Diagnósticos
20112018,Master Ouro,Diagnósticos
20112036,Master Ouro,Clinicas
20112044,Master Ouro,Diagnósticos
20112046,Master Ouro,Diagnósticos
20112048,Master Ouro,Diagnósticos
20112060,Master Ouro,Diagnósticos
20112066,Master Ouro,Diagnósticos
20112069,Master Ouro,Diagnósticos
20112071,Master Ouro,Diagnósticos
20112073,Master Ouro,Diagnósticos
20112076,Master Ouro,Diagnósticos
20112088,Master Ouro,Diagnósticos
20112092,Master Ouro,Diagnósticos
20112093,Master Ouro,Diagnósticos
